"A285 Gr. A","A134",". . .",". . .                  . . .          . . .","1","(8b)(57)","B","45","24","15.0","14.7","14.2","13.7","13.0","12.3","11.9","11.5","10.7","9.2","7.9","5.9",". . .",". . .",". . .",". . .",". . .","A134","",""
"A285 Gr. A","A672","A45","K01700          . . .          . . .","1","(57)(59)(67)","B","45","24","15.0","14.7","14.2","13.7","13.0","12.3","11.9","11.5","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0","A45","A672","",""
"Butt weld","API 5L","A25",". . .                  . . .          . . .","1","(8a)(77)","-20","45","25","15.0","15.0","14.7","14.2",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .","A25","API 5L","",""
"Smls & ERW","API 5L","A25",". . .                  . . .          . . .","1","(57)(59)(77)","B","45","25","15.0","15.0","14.7","14.2",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .","A25","API 5L","",""
". . .","A179",". . .","K01200          . . .          . . .","1","(57)(59)","-20","47","26","15.7","15.7","15.3","14.8","14.1","13.3","12.8","12.4","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0",". . .","A179","",""
"Type F","A53","A","K02504          . . .          . . .","1","(8a)","20","48","30","16.0","16.0","16.0","16.0",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .","A","A53","",""
". . .","A139","A",". . .                  . . .          . . .","1","(8b)","A","48","30","16.0","16.0","16.0",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .",". . .","A","A139","",""
". . .","A587",". . .","K11500          . . .          . . .","1","(57)(59)","-20","48","30","16.0","16.0","16.0","16.0","16.0","15.3","14.6","12.5","10.7","9.2","7.9",". . .",". . .",". . .",". . .",". . .",". . .","A587","",""
". . .","A53","A","K02504          . . .          . . .","1","(57)(59)","B","48","30","16.0","16.0","16.0","16.0","16.0","15.3","14.6","12.5","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0","A","A53","",""
". . .","A106","A","K02501          . . .          . . .","1","(""0"")","B","48","30","16.0","16.0","16.0","16.0","16.0","15.3","14.6","12.5","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0","A","A106","",""
". . .","A135","A",". . .                  . . .          . . .","1","(57)(59)","B","48","30","16.0","16.0","16.0","16.0","16.0","15.3","14.6","12.5","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0","A","A135","",""
". . .","A369","FPA","K02501          . . .          . . .","1","(""0"")","B","48","30","16.0","16.0","16.0","16.0","16.0","15.3","14.6","12.5","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0","FPA","A369","",""
". . .","API 5L","A",". . .                  . . .          . . .","1","(57)(59)","B","48","30","16.0","16.0","16.0","16.0","16.0","15.3","14.6","12.5","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0","A","API 5L","",""
"A285 Gr. B","A134",". . .",". . .                  . . .          . . .","1","(8b)(57)","B","50","27","16.7","16.5","15.9","15.4","14.7","13.8","13.3","12.5","10.7","9.2","7.9","5.9",". . .",". . .",". . .",". . .",". . .","A134","",""
"A285 Gr. B","A672","A50","K02200          . . .          . . .","1","(57)(59)(67)","B","50","27","16.7","16.5","15.9","15.4","14.7","13.8","13.3","12.5","10.7","9.2","7.9","5.9","4.0","2.5","1.6","1.0","A50","A672","",""
"A285 Gr. C","A134",". . .",". . .                  . . .          . . .","1","(8b)(57)","A","55","30","18.3","18.3","17.7","17.1","16.3","15.3","14.8","14.3","13.0","10.8","8.7","5.9",". . .",". . .",". . .",". . .",". . .","A134","",""
". . .","A524","II","K02104          . . .          . . .","1","(""0"")","-20","55","30","18.3","18.3","17.7","17.1","16.3","15.3","14.8","14.3","13.0","10.8","8.7","5.9","4.0","2.5",". . .",". . .","II","A524","",""
". . .","A333","1","K03008          . . .          . . .","1","(57)(59)","-50","55","30","18.3","18.3","17.7","17.1","16.3","15.3","14.8","14.3","13.0","10.8","8.7","5.9","4.0","2.5","1.6","1.0","1","A333","",""
